"","Tm","roster"
"1","ATL","/players/b/bellawa01.html, /players/b/bridgbi01.html, /players/c/chambje01.html, /players/c/chapple01.html, /players/c/chrisbo01.html, /players/d/davisji01.html, /players/a/abdulma01.html, /players/h/hudsolo01.html, /players/m/maravpe01.html, /players/r/rileybo01.html, /players/v/vallejo01.html, /players/w/whitehe01.html"
"2","BAL","/players/b/barneji01.html, /players/c/cartefr01.html, /players/j/johnsge01.html, /players/j/johnsgu01.html, /players/l/loughke01.html, /players/m/marinja01.html, /players/m/milesed01.html, /players/m/monroea01.html, /players/m/murredo01.html, /players/s/stewade01.html, /players/t/tresvjo01.html, /players/t/tuckeal01.html, /players/u/unselwe01.html, /players/z/zellega01.html"
"3","BOS","/players/c/chanedo01.html, /players/c/cowenda01.html, /players/d/dinwibi01.html, /players/f/finkeha01.html, /players/h/havlijo01.html, /players/j/johnsri01.html, /players/k/kuberst01.html, /players/m/morgare01.html, /players/n/nelsodo01.html, /players/s/sandeto01.html, /players/s/smithga01.html, /players/w/whitejo01.html, /players/w/williar01.html, /players/w/williwi01.html"
"4","BUF","/players/b/bowmana01.html, /players/b/bryanem01.html, /players/c/crawffr01.html, /players/d/davismi01.html, /players/g/garredi01.html, /players/g/gillihe01.html, /players/h/hoskebi01.html, /players/h/hummejo01.html, /players/k/kauffbo01.html, /players/l/longpa01.html, /players/l/lynnmi01.html, /players/m/maydo01.html, /players/s/sillimi01.html, /players/w/warneco01.html, /players/w/wilsoge01.html"
"5","CHI","/players/b/baumjo01.html, /players/b/boerwto01.html, /players/c/colliji01.html, /players/f/foxji01.html, /players/g/guokama02.html, /players/h/halimsh01.html, /players/h/holtaw01.html, /players/k/kingji01.html, /players/l/lovebo01.html, /players/r/ruffnpa01.html, /players/s/sloanje01.html, /players/w/walkech01.html, /players/w/weissbo01.html"
"6","CIN","/players/a/architi01.html, /players/a/arnzebo01.html, /players/b/barrmo01.html, /players/b/blackto01.html, /players/d/dierkco01.html, /players/f/fostefr01.html, /players/g/greenjo01.html, /players/h/hydergr01.html, /players/i/imhofda01.html, /players/l/laceysa01.html, /players/p/paulkch01.html, /players/r/robinfl01.html, /players/v/vanarto01.html, /players/v/vanlino01.html, /players/w/williwi01.html"
"7","CLE","/players/a/andercl01.html, /players/c/chapple01.html, /players/c/cookejo01.html, /players/e/eganjo01.html, /players/f/freemga01.html, /players/j/johnsjo01.html, /players/l/lewisbo01.html, /players/m/mclemmc01.html, /players/m/mikanla01.html, /players/r/rackllu01.html, /players/s/smithbi02.html, /players/s/sorenda01.html, /players/s/suitega01.html, /players/w/warrejo01.html, /players/w/washibo01.html, /players/w/weslewa01.html"
"8","DET","/players/b/bingda01.html, /players/d/dischte01.html, /players/d/driscte01.html, /players/h/hewitbi01.html, /players/k/komivho01.html, /players/l/laniebo01.html, /players/m/marlaha01.html, /players/m/mixst01.html, /players/m/mooreot01.html, /players/m/mueller01.html, /players/q/quickbo01.html, /players/w/walkeji01.html"
"9","LAL","/players/b/bayloel01.html, /players/c/chambwi01.html, /players/e/erickke01.html, /players/g/goodrga01.html, /players/h/hairsha01.html, /players/h/hetzefr01.html, /players/k/killuea01.html, /players/m/mccarwi01.html, /players/m/mcmilji01.html, /players/r/rileypa01.html, /players/r/roberri01.html, /players/t/tresvjo01.html, /players/w/westje01.html"
"10","MIL","/players/a/abdulka01.html, /players/a/allenlu01.html, /players/b/boozebo01.html, /players/c/cunnidi01.html, /players/d/dandrbo01.html, /players/f/freemga01.html, /players/g/greacbo01.html, /players/m/mcglojo01.html, /players/m/mclemmc01.html, /players/r/roberos01.html, /players/s/smithgr01.html, /players/w/webbje01.html, /players/w/winklma01.html, /players/z/zopfbi01.html"
"11","NYK","/players/b/barnedi01.html, /players/b/bradlbi01.html, /players/d/debusda01.html, /players/f/fillmgr01.html, /players/f/fraziwa01.html, /players/j/jacksph01.html, /players/m/masted01.html, /players/p/pricemi01.html, /players/r/reedwi01.html, /players/r/riordmi01.html, /players/r/russeca01.html, /players/s/stallda01.html, /players/w/willimi01.html"
"12","PHI","/players/a/andercl01.html, /players/a/awtrede01.html, /players/c/clarkar01.html, /players/c/crawffr01.html, /players/c/cunnibi01.html, /players/d/dierkco01.html, /players/f/fostefr01.html, /players/g/greerha01.html, /players/g/guokama02.html, /players/h/henryal01.html, /players/h/howelba01.html, /players/j/jackslu01.html, /players/j/joneswa02.html, /players/o/ogdenbu01.html, /players/w/washiji01.html"
"13","PHO","/players/c/countme01.html, /players/g/greenla01.html, /players/h/harriar01.html, /players/h/haskicl01.html, /players/h/hawkico01.html, /players/h/howargr01.html, /players/s/silaspa01.html, /players/t/taylofr01.html, /players/t/thomajo01.html, /players/v/vanardi01.html, /players/w/walkne01.html, /players/w/wetzejo01.html"
"14","POR","/players/a/adelmri01.html, /players/b/barneji02.html, /players/e/ellisle01.html, /players/e/englicl01.html, /players/g/gilmowa01.html, /players/g/gregoga01.html, /players/h/halimsh01.html, /players/k/knighro01.html, /players/m/mannied01.html, /players/m/mckenst01.html, /players/m/murredo01.html, /players/p/petrige01.html, /players/s/schluda01.html, /players/s/stricbi01.html"
"15","SDR","/players/a/adamsdo01.html, /players/b/blockjo01.html, /players/e/eganjo01.html, /players/h/hayesel01.html, /players/k/kimbato01.html, /players/l/lantzst01.html, /players/m/murphca01.html, /players/p/perrycu01.html, /players/s/siegfla01.html, /players/t/tomjaru01.html, /players/t/trappjo01.html, /players/w/willibe01.html"
"16","SEA","/players/a/abdulza01.html, /players/b/blackto01.html, /players/c/clemeba01.html, /players/c/crosspe01.html, /players/f/fordja01.html, /players/h/haywosp01.html, /players/h/heardga01.html, /players/k/kojisdo01.html, /players/m/meschto01.html, /players/r/rulebo01.html, /players/s/snydedi01.html, /players/t/thornro01.html, /players/w/wilkele01.html, /players/w/winfile01.html"
"17","SFW","/players/a/attleal01.html, /players/e/ellisjo01.html, /players/f/fontale01.html, /players/j/jonesni01.html, /players/l/leecl01.html, /players/l/lucasje01.html, /players/m/mullije01.html, /players/o/ogdenra01.html, /players/p/portmbo01.html, /players/s/smithad01.html, /players/t/thurmna01.html, /players/t/turnebi01.html, /players/w/williro01.html"
